date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2024-03-08,183583.18,2740.047462686567,67,4271.886236,63.7594960597015,148.75855367571137,2.9131835970149256,2.6015710412934174,0.8805970149253731,1,81,Extreme Greed,2024-03-08 05:30:00,183583.18,63.7594960597015,0.42861062093071334
2024-03-09,658178.75,5625.459401709401,117,9949.501624,85.03847541880343,154.56552113291943,15.9975568974359,38.11867542971365,0.8290598290598291,1,84,Extreme Greed,2024-03-09 05:30:00,658178.75,85.03847541880343,0.5501775220986972
2024-03-10,219973.85,5237.472619047619,42,2482.9272,59.117314285714286,207.7542700001469,34.630716666666665,55.4443214228381,0.6904761904761905,1,79,Extreme Greed,2024-03-10 05:30:00,219973.85,59.117314285714286,0.2845540276292395
2024-03-11,176519.44999999998,4202.844047619047,42,3588.179495,85.43284511904761,196.10462239183906,2.647672619047619,3.1884582870593374,0.9285714285714286,1,82,Extreme Greed,2024-03-11 05:30:00,176519.44999999998,85.43284511904761,0.4356493185986366
2024-03-12,103040.85,12880.10625,8,3039.166,379.89575,521.6006618377291,9.235375,0.18844395718621518,0.875,1,81,Extreme Greed,2024-03-12 05:30:00,103040.85,379.89575,0.7283268174191585
2024-03-13,6000.799999999999,857.2571428571428,7,0.0,0.0,0.0,3979.957142857143,11.00861134791885,0.0,1,81,Extreme Greed,2024-03-13 05:30:00,6000.799999999999,0.0,
2024-03-14,205933.18,11440.732222222221,18,3465.865832,192.5481017777778,254.30826281723253,252.0171572222222,938.3464433482117,0.8888888888888888,2,88,Extreme Greed,2024-03-14 05:30:00,102966.59,192.5481017777778,0.7571444971733348
2024-03-15,351894.41,5675.71629032258,62,6236.513651,100.58892985483871,195.43403376403242,502.81406972580646,1261.1801427784162,0.6612903225806451,3,83,Extreme Greed,2024-03-15 05:30:00,117298.13666666666,100.58892985483871,0.5146950503835481
2024-03-16,37223.66,4652.9575,8,228.57984,28.57248,80.815177453268,2750.4022475,1698.2678501401376,0.125,2,81,Extreme Greed,2024-03-16 05:30:00,18611.83,28.57248,0.3535533905932738
2024-03-17,99506.95,4326.389130434783,23,503.293955,21.882345869565217,43.52556412856168,2191.606,1766.1687966015595,0.43478260869565216,3,79,Extreme Greed,2024-03-17 05:30:00,33168.98333333333,21.882345869565217,0.5027469788773149
