date,value,signal,strategy_return,cumulative_return
2025-01-04,73,HOLD,0.0,-2025825.8354559997
2025-01-05,72,HOLD,0.0,-2025825.8354559997
2025-01-06,76,SELL,-16098.227531,-2041924.0629869998
2025-01-07,78,SELL,-130117.090554,-2172041.1535409996
2025-01-08,70,HOLD,0.0,-2172041.1535409996
2025-01-09,69,HOLD,0.0,-2172041.1535409996
2025-01-10,50,HOLD,0.0,-2172041.1535409996
2025-01-11,69,HOLD,0.0,-2172041.1535409996
2025-01-12,62,HOLD,0.0,-2172041.1535409996
2025-01-13,61,HOLD,0.0,-2172041.1535409996
2025-01-14,63,HOLD,0.0,-2172041.1535409996
2025-01-15,70,HOLD,0.0,-2172041.1535409996
2025-01-16,75,SELL,-7006.415608,-2179047.5691489996
2025-01-17,75,SELL,-443.2330819999997,-2179490.802231
2025-01-18,77,SELL,-87923.799302,-2267414.601533
2025-01-19,77,SELL,-87277.239173,-2354691.840706
2025-01-20,76,SELL,-11077.839421,-2365769.680127
2025-01-21,76,SELL,-20524.408057,-2386294.088184
2025-01-22,84,SELL,-101256.24216,-2487550.330344
2025-01-23,75,SELL,-10602.779738,-2498153.110082
2025-01-24,75,SELL,10348.016255999999,-2487805.093826
2025-01-25,75,SELL,-40823.466668,-2528628.560494
2025-01-26,73,HOLD,0.0,-2528628.560494
2025-01-27,71,HOLD,0.0,-2528628.560494
2025-01-28,72,HOLD,0.0,-2528628.560494
2025-01-29,72,HOLD,0.0,-2528628.560494
2025-01-30,70,HOLD,0.0,-2528628.560494
2025-01-31,76,SELL,-32300.205017,-2560928.765511
2025-02-01,68,HOLD,0.0,-2560928.765511
2025-02-02,60,HOLD,0.0,-2560928.765511
2025-02-03,44,HOLD,0.0,-2560928.765511
2025-02-04,72,HOLD,0.0,-2560928.765511
2025-02-05,54,HOLD,0.0,-2560928.765511
2025-02-06,49,HOLD,0.0,-2560928.765511
2025-02-07,44,HOLD,0.0,-2560928.765511
2025-02-08,44,HOLD,0.0,-2560928.765511
2025-02-09,46,HOLD,0.0,-2560928.765511
2025-02-10,43,HOLD,0.0,-2560928.765511
2025-02-11,47,HOLD,0.0,-2560928.765511
2025-02-12,46,HOLD,0.0,-2560928.765511
2025-02-13,50,HOLD,0.0,-2560928.765511
2025-02-14,48,HOLD,0.0,-2560928.765511
2025-02-15,50,HOLD,0.0,-2560928.765511
2025-02-16,54,HOLD,0.0,-2560928.765511
2025-02-17,51,HOLD,0.0,-2560928.765511
2025-02-18,47,HOLD,0.0,-2560928.765511
2025-02-19,44,HOLD,0.0,-2560928.765511
2025-02-20,49,HOLD,0.0,-2560928.765511
2025-02-21,55,HOLD,0.0,-2560928.765511
2025-02-22,49,HOLD,0.0,-2560928.765511
2025-02-23,50,HOLD,0.0,-2560928.765511
2025-02-24,49,HOLD,0.0,-2560928.765511
2025-02-25,25,BUY,63229.063129,-2497699.702382
2025-02-26,21,BUY,-36525.167517,-2534224.869899
2025-02-27,10,BUY,225628.108748,-2308596.761151
2025-02-28,16,BUY,10596.108968,-2298000.652183
2025-03-01,20,BUY,66914.320708,-2231086.331475
2025-03-02,26,HOLD,0.0,-2231086.331475
2025-03-03,33,HOLD,0.0,-2231086.331475
2025-03-04,15,BUY,269328.365917,-1961757.965558
2025-03-05,20,BUY,16101.125561,-1945656.8399969998
2025-03-06,25,BUY,150236.061627,-1795420.77837
2025-03-07,34,HOLD,0.0,-1795420.77837
2025-03-08,28,HOLD,0.0,-1795420.77837
2025-03-09,27,HOLD,0.0,-1795420.77837
2025-03-10,20,BUY,-76880.729036,-1872301.507406
2025-03-11,24,BUY,288105.984215,-1584195.523191
2025-03-12,34,HOLD,0.0,-1584195.523191
2025-03-13,45,HOLD,0.0,-1584195.523191
2025-03-14,27,HOLD,0.0,-1584195.523191
2025-03-15,46,HOLD,0.0,-1584195.523191
2025-03-16,30,HOLD,0.0,-1584195.523191
2025-03-17,32,HOLD,0.0,-1584195.523191
2025-03-18,34,HOLD,0.0,-1584195.523191
2025-03-19,32,HOLD,0.0,-1584195.523191
2025-03-20,49,HOLD,0.0,-1584195.523191
2025-03-21,31,HOLD,0.0,-1584195.523191
2025-03-22,32,HOLD,0.0,-1584195.523191
2025-03-23,30,HOLD,0.0,-1584195.523191
2025-03-24,45,HOLD,0.0,-1584195.523191
2025-03-25,46,HOLD,0.0,-1584195.523191
2025-03-26,47,HOLD,0.0,-1584195.523191
2025-03-27,40,HOLD,0.0,-1584195.523191
